x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,x_LW,y_LW,x_RW,y_RW
392.4717576,210.3078091,391.2103898,210.5158843,401.1560163,252.9011857,389.0651238,252.1833092,387.0923882,170.1529935,391.281648,165.6189763
394.1157882,208.4724302,414.4417397,212.2920444,400.9226145,251.3929605,393.2723921,251.0352531,381.9542108,169.9713914,386.3362016,165.5037424
390.5258998,210.1000711,415.5908749,214.9539914,399.2944003,251.2934418,396.3186543,251.6319604,381.178397,167.6487724,385.75467,163.0087615
388.7052581,211.4560675,413.9946645,216.6587584,402.2256648,250.8794496,399.5349853,250.8160153,378.1138902,169.6691258,381.1436278,164.9978868
383.1802024,210.6796804,410.1370774,217.6174559,393.1005698,250.7101904,407.5230518,251.3728274,372.7145901,169.0804448,380.9102935,164.5037671
384.656525,213.8883223,393.7594973,213.1943222,399.8103056,253.6667138,404.7646551,253.5396429,370.2975784,166.1247307,371.302039,164.2401152
353.4479676,218.6530434,388.6277273,216.9540769,344.330764,253.5820673,399.8835535,257.0564183,370.7469131,167.4028591,372.8212582,166.7857153
358.0341892,218.8670878,352.5710164,218.8970681,402.8706981,256.5605787,389.2089891,256.5741019,369.9462112,173.2892306,366.1365791,176.3812897
354.5146484,218.4650337,377.4338517,216.213538,388.4048811,253.7636695,381.3652937,254.5483864,363.3582179,172.9958344,364.2415767,172.9510493
355.0347017,218.5316043,348.9376244,219.0141906,374.1280518,255.3992692,348.6805824,252.8687435,365.2879221,168.9803866,353.4723162,172.8106575
355.0347017,218.5316043,348.9376244,219.0141906,374.1280518,255.3992692,348.6805824,252.8687435,365.2879221,168.9803866,353.4723162,172.8106575
354.4692563,216.833717,349.9038423,217.2587705,359.8467034,258.9908775,353.5701486,253.9844923,361.7977884,171.7251589,342.5841121,171.7993848
354.4692563,216.833717,349.9038423,217.2587705,359.8467034,258.9908775,353.5701486,253.9844923,361.7977884,171.7251589,342.5841121,171.7993848
343.9320824,217.7256415,353.0855727,216.9489846,348.8242791,256.7972179,352.0478606,260.5315112,347.9319836,172.6694227,343.9263831,171.3506572
343.9320824,217.7256415,353.0855727,216.9489846,348.8242791,256.7972179,352.0478606,260.5315112,347.9319836,172.6694227,343.9263831,171.3506572
330.9389796,218.8021359,345.3127983,217.2365803,346.5461079,255.9979999,346.7193803,255.3120934,336.3382459,171.5068317,329.6705636,169.0321187
330.9389796,218.8021359,345.3127983,217.2365803,346.5461079,255.9979999,346.7193803,255.3120934,336.3382459,171.5068317,329.6705636,169.0321187
328.4534751,218.3177286,343.0828857,216.9787289,346.5374746,259.3940781,342.1731551,259.2972236,337.0917009,170.4735036,331.2412451,170.2832008
328.4534751,218.3177286,343.0828857,216.9787289,346.5374746,259.3940781,342.1731551,259.2972236,337.0917009,170.4735036,331.2412451,170.2832008
