time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,,
8.095501,174.1740827,416.0367142,183.8143695,417.1141248,185.2431147,513.6230849,171.9028719,510.7953855,,9.700306345,13.63664042,98.21213375,,-114.3273298
8.121272,164.0933168,411.3063518,181.2784609,411.0643011,180.3784275,509.4430934,170.3538044,505.729648,,17.18684864,10.6903108,99.47876599,,178.9899842
8.171699,168.9662687,413.0160202,174.166388,411.5728356,187.3597474,507.2751626,167.967971,503.7129894,,5.396667724,19.71623873,96.03700321,,0
8.202461,168.9662687,413.0160202,174.166388,411.5728356,187.3597474,507.2751626,167.967971,503.7129894,,5.396667724,19.71623873,96.03700321,,495.8463258
8.231813,143.2662976,401.093864,178.5639021,410.8935357,185.7321559,507.5991002,156.0041304,490.5491929,,36.63269645,34.27032009,114.6591229,,-560.6561012
8.259631,141.1076385,405.233083,177.5924315,414.4423334,161.0847063,492.7663318,175.311702,504.8622173,,37.62911656,18.67398867,89.7839233,,230.8431152
8.294875,148.4711477,411.3924185,170.1366048,414.8061314,151.6945639,494.9100575,175.6034548,507.0398377,,21.93274874,26.80982342,83.57982075,,-295.7050458
8.330295,146.7285916,412.3850924,175.6366086,414.0514424,157.0125737,502.7478265,171.8360515,509.6127949,,28.95600403,16.3359507,90.94604995,,435.6090286
8.356123,146.2354466,417.2866002,171.2890245,415.4753997,154.4186603,508.5095452,181.9217762,510.6574508,,25.11896122,27.58686069,91.58924981,,1081.562306
8.397942,129.4418204,411.5677818,164.5630358,414.4619027,106.953657,480.2674337,173.2173175,510.4568565,,35.24025691,72.81671478,72.28664928,,0
8.43114,129.4418204,411.5677818,164.5630358,414.4619027,106.953657,480.2674337,173.2173175,510.4568565,,35.24025691,72.81671478,72.28664928,,-415.6359
8.468676,100.7054239,415.0102216,125.8901728,414.1783576,105.6724032,467.9815555,157.73561,491.7097063,,25.19848358,57.21540564,53.20369441,,-1190.134712
8.490244,94.69177484,388.9135457,111.5645329,391.0643771,147.9238167,488.8371687,178.4357331,496.8502629,,17.00929276,31.54658018,113.2182879,,241.0805615
8.528799,82.68163303,383.8193093,87.27558062,382.8520185,186.8320996,495.7259621,148.0915423,482.7956666,,4.694678472,40.84144123,152.8738651,,994.8201719
