time	x_LK	y_LK	x_RK	y_RK	x_LA	y_LA	x_RA	y_RA	x_LW	y_LW	x_RW	y_RW	ŽèŽñ‹——£
4.528123	255.5241082	219.8757975	273.0686971	220.5241357	278.3041505	261.4382742	242.6284669	254.5731733	240.9359247	174.9718412	242.7971697	172.6881393	2.94610372
4.650723	249.9516032	221.5671762	278.9913216	228.4197993	254.1305772	257.0084632	284.0076216	263.3887521	235.4138872	174.9433109	243.7744321	171.4574939	9.058125146
4.766297	215.442237	225.8134965	253.087385	221.7268242	244.3791656	258.7234485	254.1872668	259.0701957	224.5884768	173.60593	226.5875843	172.8369283	2.141913715
4.878684	210.0940789	229.119465	233.1202537	223.0676787	226.1386374	261.4314283	231.7033691	261.5406931	219.4277382	183.1037731	228.9229171	185.8379899	9.881010307
4.99155	205.0578314	223.231205	219.1478651	222.7680099	215.6056789	258.6509763	222.6171239	257.0394553	205.8265127	177.8358606	209.9822848	176.4884974	4.368733211
5.131851	203.550112	222.5168357	205.4359922	220.878066	212.7539856	260.732572	196.5923552	259.9378391	196.9461337	176.5991111	188.0585548	170.8079753	10.60784206
5.265637	180.113975	226.5041243	210.0577922	227.5574505	214.1738041	263.1311368	209.9470267	263.4207897	180.3916054	172.2393105	179.1813628	171.0564853	1.692265546
5.377831	165.734204	225.90364	180.5866464	225.3470977	158.0038709	258.4976346	219.8254418	262.7716421	158.5862624	170.6508903	161.2747667	170.2288719	2.721425215
5.468304	148.7598155	227.4396198	177.6674045	226.1748123	170.5131397	259.9215169	171.8303539	260.5675956	175.0672394	180.8833706	174.4371119	182.7909857	2.008993762
5.5948	137.0813723	228.722301	166.6105145	225.5636039	146.5651948	260.9742698	170.6962762	259.8627364	152.1428258	193.6957818	155.8918564	186.2454734	8.340403155
5.735659	134.3036856	229.4592988	152.7486553	229.3126007	143.7620973	268.189996	153.1012872	267.7777237	122.5528208	183.1476813	129.4609279	170.1498909	14.71952778
5.869382	118.5581131	224.6760971	139.3543753	224.2582941	136.7127638	267.7596816	137.6963915	267.0972468	104.7141865	170.472357	105.4205126	167.9024083	2.665245345
5.971786	101.4962453	229.797986	139.2654122	234.0317611	102.5675293	259.7476037	152.2444016	270.2148684	81.38956532	171.7310269	109.7356546	168.0714653	28.58134302
6.09909	92.15073214	227.6792268	113.9781473	226.4020089	97.38879074	259.1764928	144.7786815	263.1019658	69.73642336	175.745092	81.28458342	169.6079173	13.07764943
6.21552	73.27631636	228.3106694	96.61473897	223.866627	86.94402815	265.3148141	96.46667504	265.1809984	71.18667757	179.8801578	80.43051373	178.5487797	9.339222385
6.32863	66.97564068	220.4680532	84.51841694	215.5340391	77.07873998	260.9995625	88.16361222	262.721731	62.44727637	178.2407811	77.29064288	175.3791898	15.11668727
6.45337	64.20179849	215.8677689	71.80243027	215.7611682	68.03452708	261.9909383	70.3749522	261.5742819	58.39606034	177.0893863	60.08609009	174.3248856	3.240164315
6.565463	36.02120408	224.8525395	69.06554505	224.6742423	65.36347053	264.9513737	72.17827253	265.3748423	39.23509846	176.993982	68.06202033	180.964982	29.09914544
6.674594	32.75471547	226.3349662	67.88783739	225.6643366	85.18544654	263.8493842	78.68274056	264.6156543	46.33737396	179.3752465	57.02803716	184.3593403	11.79540041
6.802326	5.026230526	232.7857714	39.90194257	225.2790432	-6.809974767	266.9232662	76.95718289	264.7104179	27.91706263	179.968143	34.25674611	191.3426428	13.02193662
6.902237	2.913028082	226.2218906	16.77734512	223.4291294	9.598587407	269.3072961	21.07154045	262.0210536	-12.25295599	179.700343	-2.102122362	175.5141521	10.98014654
7.015736	-4.472958895	230.234337	6.317051706	230.0366824	7.946827736	276.5284519	12.04501457	275.9233812	-12.23271228	172.7054396	6.959428216	171.8013745	19.21342215
7.128804	-3.01169047	248.0959962	-0.491014642	249.4055214	-1.701905898	281.8899477	1.815555706	284.671951	14.42175381	192.8966649	4.958714088	195.2344933	9.747541348
7.250198	-1.208283992	242.3226665	1.244632745	244.9501478	2.97005882	276.0263734	2.19462912	283.3350422	5.403214651	186.0769898	9.47481614	192.6911863	7.766951432
7.363637	-15.12327537	199.6001281	-13.2385808	200.9780449	-6.926515987	259.0665872	-5.840633763	259.0604158	-13.3213451	250.3718741	-12.06191963	249.1937028	1.724598576
7.47887	578.2039163	8.248959315	574.5979754	11.17172538	18.80513674	188.2250886	17.96011554	188.8696498	-28.27259479	-21.26298375	-20.74048748	-55.82960855	35.37773581
7.596996	574.0567774	11.02012046	568.8338523	13.32095396	21.43259486	193.5710041	20.15465614	194.1575942	-25.02943456	-57.97681371	507.9785161	402.3090022	704.2446363
7.696558	573.6087243	7.041642245	569.8463728	9.584181967	21.9658383	194.3163654	20.66431406	194.2844628	-23.79524813	-59.10790677	489.0403962	-26.44295327	513.8748849
7.800894	573.657219	8.797635565	570.0845971	11.39797772	20.47595242	191.7049029	18.02688848	192.245966	129.8058286	208.3892675	491.0449333	-25.10769689	430.1331458
7.875	83.59190873	179.5985312	569.2982277	13.09785479	81.55202926	195.4443559	18.99815648	188.4766675	131.7610279	205.2221395	503.412866	407.198872	422.9889943
