time	x_LK	y_LK	x_RK	y_RK	x_LA	y_LA	x_RA	y_RA	x_LW	y_LW	x_RW	y_RW	
14.463385	146.0306914	406.745881	170.5039176	414.1290354	151.0577654	502.8018984	180.0119315	508.0244939	139.4875137	314.0857741	130.3210117	300.6225681	16.28750058
14.489255	146.6369391	413.1452532	167.1995645	408.3696346	151.2918744	508.9536722	172.1492735	507.5680934	125.1897647	312.6993403	129.9494809	306.6018855	7.735234599
14.527466	163.4205337	422.6112217	175.4923281	426.2209691	171.5677818	515.5434931	198.384454	505.9661889	123.8766871	303.5215718	132.135632	296.120311	11.09003298
14.567905	158.1157854	415.8418197	192.265815	420.8615029	175.911281	514.5259302	180.9450997	512.8092321	123.6486959	295.3031144	134.0714297	289.3964502	11.98006932
14.595721	142.7930257	414.974579	212.2436618	418.9018422	145.781155	505.2782253	211.2446802	508.4762585	121.3745972	279.0413158	166.0264736	268.9879849	45.76963542
14.632012	178.6439841	415.5056846	166.2030528	414.2644242	186.458726	512.7846091	221.8636384	512.4106654	118.5371892	259.4177864	103.0700541	266.978128	17.21601096
14.660819	193.3892419	418.8658576	125.936664	402.3518437	191.3453763	506.822904	195.1786311	504.374962	147.0238973	260.2651158	142.7832791	263.5365052	5.355822145
14.699229	211.0223887	428.4910019	114.3626885	400.1473203	202.1424717	500.4662421	182.3974039	496.9161904	171.9074128	269.5920287	149.5688116	264.712351	22.86535277
14.724867	203.7995501	423.3298121	165.7192744	411.6426009	195.5067105	503.7415263	191.4302651	500.8580071	128.2793121	232.0139417	136.4772313	234.6500904	8.611339011
14.763336	203.7995501	423.3298121	165.7192744	411.6426009	195.5067105	503.7415263	191.4302651	500.8580071	128.2793121	232.0139417	136.4772313	234.6500904	8.611339011
14.791102	182.9648362	423.0574766	217.5044078	419.3338856	204.8295385	518.0156022	198.6735849	516.744855	132.891461	227.3815016	135.5843226	225.6649745	3.193425872
14.829336	176.9293379	421.0204128	223.1671404	420.287383	199.8018376	519.0497705	208.8864528	517.9615303	121.9858227	209.1436269	76.61102414	194.8390192	47.5761931
14.856314	176.1383413	418.5888482	217.6319309	417.0763543	190.8770823	522.2014455	210.832776	518.2158165	105.4792756	206.2386954	70.92630943	194.6158917	36.45541162
14.896614	176.4951856	419.7527815	211.8419793	422.3494498	194.2725559	522.4793288	212.7111579	518.9734314	92.15322532	193.3280832	78.07172605	191.4956036	14.20023251
14.933831	169.2950511	419.8230028	218.1560828	418.4218826	194.8201149	516.4214494	210.9009454	510.4901052	93.69758101	197.0923517	81.94506931	193.5252006	12.28194194
