time,x_LK,y_LK,x_RK,y_RK,x_LA,y_LA,x_RA,y_RA,,,,,
8.710648,244.1858053,417.3123252,182.6705754,413.3645428,239.6670948,502.9783256,184.998936,511.2914564,,,55.2966159,,82.19829063
8.751088,239.5920477,415.1840269,181.3818929,413.6565236,240.4661281,503.0933472,182.1136688,508.6950161,,,58.62071478,,-39.05267961
8.777607,240.0477262,417.0460314,180.6751201,415.2214935,240.5923593,506.3082518,183.0851395,509.3017008,,,57.58507677,,119.8674952
8.81087,241.9403575,416.4174596,179.3276158,411.2477961,240.7228842,505.3239756,179.3655004,510.4631262,,,61.57222926,,-176.2954077
8.836702,244.9250289,414.9762129,181.5602581,405.3180858,240.0164534,502.3645352,183.0626824,505.0736412,,,57.01816628,,40.57708947
8.888145,245.1701575,408.8120136,183.1916874,398.6046176,237.6119057,497.3117932,178.5602733,494.7872082,,,59.1055735,,0
8.914984,245.1701575,408.8120136,183.1916874,398.6046176,237.6119057,497.3117932,178.5602733,494.7872082,,,59.1055735,,275.8656719
8.950148,242.8603402,409.9802028,183.0952471,395.2037102,244.2571665,490.3207837,175.4585284,489.3065266,,,68.80611399,,-51.74818158
8.976051,241.4038941,413.7544838,183.5626292,395.7235302,244.480066,491.3943185,177.6596889,482.0854359,,,67.46568084,,-518.4233098
9.0122,243.8064278,416.0777526,188.4262904,397.4274228,238.4963217,497.6857369,193.4463157,479.1212077,,,48.72519661,,787.5663757
9.049716,244.1257676,415.2027982,186.9980393,396.2857946,240.2551982,498.6575875,170.5392373,463.0750319,,,78.27153676,,-1040.582661
9.072276,244.3827137,415.4850134,188.645618,394.2031326,240.5256338,499.6914518,191.2929384,475.6343856,,,54.79599192,,9.360509635
9.110723,246.5524684,414.1278195,188.5002736,389.8318945,240.363912,496.6873252,189.6199766,475.0719692,,,55.15587543,,38.52690959
9.149561,247.2701088,420.5683822,188.9136597,399.7796845,240.6990592,500.4895732,187.9074964,479.9342625,,,56.65218355,,0
9.188041,247.2701088,420.5683822,188.9136597,399.7796845,240.6990592,500.4895732,187.9074964,479.9342625,,,56.65218355,,-2.675375026
9.210687,243.9695176,412.891043,184.5198884,399.452897,238.0171981,498.6696331,181.8628405,491.6484527,,,56.59159701,,-0.559873217
9.249108,243.3027952,410.677248,185.3038363,395.5694081,235.9437318,498.1406934,179.5428016,493.7692273,,,56.57008612,,-158.829201
9.275947,244.0341151,411.6493647,185.7534351,396.172825,237.0038151,499.1635381,184.7931359,495.9862141,,,52.30726919,,-109.8889221
9.310229,239.7218507,415.3684339,185.807469,403.1461272,233.7224891,505.4336013,185.4066984,500.7729663,,,48.54005716,,143.8553204
9.338057,241.5345711,419.921305,187.7247234,410.573398,232.8877371,508.0375654,180.4519926,504.6779244,,,52.54326302,,105.8907354
9.372168,241.9945054,415.1958065,190.1717154,409.9463841,236.4675796,507.343522,180.31231,507.2832943,,,56.1553019,,73.87473614
9.415211,240.3352991,415.077973,179.4134545,415.9912679,238.2443914,507.8178958,178.9244893,509.1604222,,,59.33509217,,0
9.449506,240.3352991,415.077973,179.4134545,415.9912679,238.2443914,507.8178958,178.9244893,509.1604222,,,59.33509217,,-163.0497776
9.486902,250.911737,419.271302,177.2249096,416.2877326,228.9659837,508.8257311,175.7333908,509.5618768,,,53.23768268,,384.2652974
9.510512,238.0122203,416.8279958,176.8199021,417.7038242,238.17778,507.2167589,175.9562143,510.5388193,,,62.31018635,,-28.30155914
9.547102,241.563602,417.0190525,175.2048311,415.858501,236.6268315,505.0819629,175.5291677,509.7355682,,,61.2746323,,-255.1413765
9.568589,241.7888193,415.3866352,174.6252964,415.2305371,233.6343704,502.733691,178.0235439,507.2313503,,,55.79240955,,222.6915762
9.605001,241.0055554,414.6653089,172.0595209,415.2118799,237.7638999,499.0731396,174.0957487,504.5239543,,,63.90105522,,52.74567167
9.640231,242.1325921,414.3458551,169.6957457,418.1717382,236.1661372,502.7010503,170.5101114,506.3847808,,,65.75928523,,164.9000362
9.667135,244.6838521,412.3601654,168.3186976,417.7310311,238.54154,494.7451058,168.8124506,502.8258375,,,70.19575581,,23.23723597
9.691967,244.0276553,411.8607505,165.8015032,419.0333551,237.4308807,490.9094571,167.6426465,502.6733493,,,70.77278285,,-41.42253715
9.725153,243.5531296,410.4258116,166.797407,416.5746595,232.6414306,490.6647085,164.4821559,503.7189932,,,69.39813453,,123.2194979
9.761652,242.3529836,408.2755122,165.8459235,418.1897875,238.0040886,486.1104694,166.1129203,503.2045689,,,73.89552299,,-1.475467846
9.783177,244.4090847,403.9567121,165.8140047,417.3207229,236.5064142,480.5055326,165.3351851,500.2669018,,,73.86376354,,7.74448525
9.821608,242.6492203,404.1874772,168.1173623,412.9401751,237.0128207,480.208688,165.9588552,501.4512403,,,74.16139185,,0
9.85586,242.6492203,404.1874772,168.1173623,412.9401751,237.0128207,480.208688,165.9588552,501.4512403,,,74.16139185,,15.36394978
9.882693,245.4842534,403.5228067,169.0550333,413.0124103,238.1628465,477.213415,167.2800264,500.3835573,,,74.57365272,,-96.64691185
9.916914,244.2589525,402.8928669,165.0675234,412.6922346,234.532086,478.0184141,166.5820502,499.505107,,,71.26629875,,43.65949441
9.941767,243.8106457,403.7064537,165.1418296,415.2750334,233.7166753,475.2176936,166.5257364,502.0523392,,,72.35136816,,201.6798996
9.97694,240.8486214,385.9732186,172.5732042,410.8396158,242.8496626,477.4153013,166.6911061,500.0292589,,,79.44505527,,-102.0188252
10.018031,236.953391,395.7221243,167.6150976,413.7477201,243.359793,487.0421556,169.7967458,502.9006566,,,75.25299972,,0
10.051213,236.953391,395.7221243,167.6150976,413.7477201,243.359793,487.0421556,169.7967458,502.9006566,,,75.25299972,,-191.3988483
10.077052,249.4579888,407.3223948,170.495881,414.270238,240.6881156,493.3043151,171.3736093,505.078695,,,70.30744488,,-6.913337375
10.111419,246.7224359,410.521188,170.8870379,414.9275368,239.6570252,494.9273848,170.1336979,503.6618814,,,70.06985422,,-184.3838202
10.136068,244.0907709,417.3451179,169.2224929,416.8891735,236.3991443,507.1425097,170.9727436,510.7353858,,,65.52497743,,-215.6768587
10.188551,241.1078095,418.5049854,175.078315,416.2022738,234.0471106,504.6860181,179.894972,507.0930736,,,54.20560885,,0
10.21537,241.1078095,418.5049854,175.078315,416.2022738,234.0471106,504.6860181,179.894972,507.0930736,,,54.20560885,,-13.7381655
10.248611,239.5614968,419.1249316,173.8716713,418.4150429,239.3919853,504.5504013,185.806747,508.7421343,,,53.74893849,,-113.0843984
10.276507,238.1370835,420.1368327,175.9465437,417.0591409,236.0758527,506.4226274,185.547673,509.0091121,,,50.59433611,,121.341198
10.310617,239.9545917,418.7485181,175.7882607,417.8598082,237.6103858,506.4374468,183.0179961,510.3621641,,,54.73328438,,-91.53431764
10.348198,243.0490029,420.3522845,175.6560638,417.8675979,234.2403712,509.0147358,183.0558047,512.3533256,,,51.29333319,,288.3922161
10.36887,242.4060676,418.0558807,178.7536289,414.7596592,233.3690646,503.6687591,176.119361,504.4458293,,,57.25497708,,-14.84999178
10.414727,244.0999286,417.9454569,177.8471927,415.7727383,238.7975362,499.7008755,182.3790886,503.8932925,,,56.57400101,,86.27583401
10.449141,243.4519774,418.696726,177.6188404,414.452023,242.0194325,499.3886415,182.8091561,505.6754241,,,59.54309756,,0
10.48651,243.4519774,418.696726,177.6188404,414.452023,242.0194325,499.3886415,182.8091561,505.6754241,,,59.54309756,,-18.9356652
10.51001,242.474693,417.4543258,181.353432,412.1525033,240.8505593,495.6608326,181.9669185,500.6910795,,,59.09810943,,-161.3901211
10.547455,245.8999574,416.2143194,185.6204782,413.1322197,237.8305493,497.7304232,185.1255472,491.6476167,,,53.05485634,,209.2432577
10.574214,247.396074,418.5314324,182.2509956,412.7729435,239.9984041,496.0535095,182.7159457,483.4435418,,,58.65399667,,160.0029313
10.608492,244.7699568,417.0779122,187.4724891,407.6164275,246.2990941,488.2373997,182.5116276,481.535445,,,64.13857715,,-173.5052003
10.648353,243.2412375,416.2631855,189.1482627,403.0026827,242.7261673,499.5392677,191.5979526,473.8426024,,,57.22248637,,0
10.685782,243.2412375,416.2631855,189.1482627,403.0026827,242.7261673,499.5392677,191.5979526,473.8426024,,,57.22248637,,38.42431835
10.720033,246.0814385,416.7901113,190.4287375,404.4186223,243.0684582,499.9011278,190.5015427,474.1429809,,,58.53855769,,-116.0598002
10.746844,245.5402253,413.8945085,186.2159153,397.1464996,240.4398711,497.2526295,189.037307,476.5182317,,,55.42687839,,-62.82635899
10.771749,244.9192911,410.5506369,183.7222611,398.0637844,241.1323185,492.8431268,188.8574219,479.8635092,,,53.86218792,,-4.874737385
10.805209,242.4876505,415.8397298,185.6853417,408.5196148,241.8555447,499.8871443,189.1636901,489.5353538,,,53.69907921,,-26.27059518
10.857706,242.0944416,415.8478234,185.105256,408.9988524,237.6937166,503.9197015,185.3882691,502.6878268,,,52.31995177,,0
10.886261,242.0944416,415.8478234,185.105256,408.9988524,237.6937166,503.9197015,185.3882691,502.6878268,,,52.31995177,,119.36326
10.924988,242.7887889,416.3680235,180.4129301,417.1662588,239.3655384,504.1419549,182.6016841,508.6493799,,,56.94253274,,0
10.9484,242.7887889,416.3680235,180.4129301,417.1662588,239.3655384,504.1419549,182.6016841,508.6493799,,,56.94253274,,4.125385711
10.985862,243.1839737,415.8042011,180.7386156,417.1819522,239.2997629,507.0925036,182.3355423,510.9853022,,,57.09707794,,51.26044447
11.009637,249.0822592,420.0462062,177.9535126,416.8857536,237.8034943,504.7425979,179.7185448,509.9262828,,,58.31579501,,-56.09110396
11.047854,249.4331758,420.0460922,177.4703991,420.0552499,237.8162999,504.8284746,181.9646006,510.8200845,,,56.17216129,,22.2938655
11.073594,248.6140032,419.6381779,175.5122583,417.5597337,238.9751794,502.734109,182.6602398,509.7152769,,,56.74600539,,71.57258544
11.107789,242.6936026,414.8090953,175.6437143,415.8838081,238.3742704,500.6327137,179.4888816,506.6637281,,,59.19342995,,153.4241316
11.147692,244.4505791,410.2789853,173.7699492,416.0004636,239.5361898,502.473059,174.4766081,508.2494832,,,65.31551307,,0
11.186141,244.4505791,410.2789853,173.7699492,416.0004636,239.5361898,502.473059,174.4766081,508.2494832,,,65.31551307,,-235.231934
11.21938,241.2632235,413.542528,172.8603402,415.7888497,233.9565601,506.8688062,176.5996816,510.8752964,,,57.49663881,,212.71461
11.245174,244.0209676,404.688222,171.9185843,415.391575,236.7000167,497.5869787,174.4229922,506.9934035,,,62.98339946,,444.2249949
11.278391,245.7251642,395.8155627,171.875437,418.4682788,249.9233569,487.9619483,174.219206,505.6330557,,,77.73922112,,47.32170925
11.302362,250.052894,392.1720726,169.9265298,414.376254,249.2053745,483.6697471,172.9469388,503.8115196,,,78.87356981,,-100.5091702
11.355623,254.2274137,401.3161935,172.1649289,409.8007357,238.3203125,475.3417209,169.9695632,502.4233949,,,73.5203509,,0
11.381434,254.2274137,401.3161935,172.1649289,409.8007357,238.3203125,475.3417209,169.9695632,502.4233949,,,73.5203509,,217.5125218
11.415659,250.2770094,376.1822486,173.6797977,407.1595711,241.6095422,473.3189446,166.3464593,503.1644425,,,80.96471696,,-130.73749
11.442586,246.4750654,375.416312,173.4975757,408.2325739,241.7410931,473.8118616,169.5362848,501.8135184,,,77.44434857,,-210.8487986
11.479933,247.4285627,380.389751,174.2889523,409.2543926,231.8184582,471.5716576,167.8997067,499.037041,,,69.56977849,,94.07157065
11.514185,247.3986959,382.9874833,174.5126877,414.3854876,235.6909275,474.556291,169.5434665,504.9401143,,,72.79191792,,-82.01191721
11.550931,245.5947532,394.6931618,176.7508968,412.2846243,242.837807,486.7038546,175.2928548,504.2164701,,,69.77830801,,0
11.576861,245.5947532,394.6931618,176.7508968,412.2846243,242.837807,486.7038546,175.2928548,504.2164701,,,69.77830801,,-78.0649598
11.61301,246.2221091,402.8422149,175.4281486,413.6847185,233.0017327,490.3291434,168.9610249,509.8724009,,,66.95633778,,-268.3693498
11.650502,252.6368327,410.8573991,173.0941642,413.0505229,231.8658044,495.9020094,175.8221554,505.7055189,,,56.89463412,,116.0849324
