"time","x_LK","y_LK","x_RK","y_RK","x_LA","y_LA","x_RA","y_RA","x_LW","y_LW","x_RW","y_RW"
"2.714178","429.35415970026753","217.4572345421936","419.04252986685316","217.08236183730548","441.2719147084752","251.26133686466443","419.9704376101958","251.2261967640443","434.55378170978236","180.2851795241063","413.08321395458415","182.75119172923763"
"2.747168","430.499888854268","216.6130290346851","419.5024200320708","216.58972595452337","430.89937986381324","247.18016153179718","419.37281983371844","247.74452773513502","426.07695749483224","182.2230785087853","411.11573928061165","180.817912892145"
"2.782181","429.698984583992","216.99626521841566","405.20947075632296","217.1768219350377","431.79835266825756","250.1722972587853","398.8448633572471","249.47769010669992","423.0317069324538","182.8077126588339","405.16913720513134","184.90853086241492"
"2.813214","427.51911801586823","218.66852257873302","402.95966122400904","218.77090774714253","430.56787584356766","251.18100699933126","397.3056460131931","250.12940070601292","422.1455491359132","183.49149450161116","401.607475547939","185.67975827228236"
"2.850194","424.54023570494894","219.6700491701119","399.63551562120017","220.66375186192852","426.24625049398105","254.45675908545115","392.468958516993","252.2611772707928","423.0070549040917","184.17544496291345","397.23222950738693","187.1754383131688"
"2.880204","421.2974991260336","220.94649140473007","399.96968381414155","220.96915373449662","423.59064361928506","254.42684615910753","395.82149947942","250.62962442242218","421.1553199857126","185.83191962928623","395.72558926237235","189.2088091067303"
"2.915135","417.24154912451365","219.54409113190053","399.73466331392876","219.92429218218024","419.87769742141904","253.17552808472158","397.11949116153943","250.99259265944193","417.5673875623176","183.03976547300584","395.2429355962731","185.28724806967415"
"2.950172","415.47655157541953","218.3535431739421","404.5072757706104","218.9139637037938","416.71866307833784","250.53276994163429","406.1191676989604","246.66236776507782","415.7405744619407","182.79489765093024","397.1946275763011","184.59594584067975"
"3.00008","411.824274322866","215.11626983523837","404.1237360735348","218.24117578884972","412.71950379605425","249.52207050249274","407.68711763968264","245.56034453277","410.77870457274446","176.84765482505475","394.4492481988692","178.4388741222337"
"3.05005","398.75967727839253","225.1801316079463","399.166891016385","225.2582019850438","398.94566351152116","256.39846884879626","397.79251514241855","256.8254446779244","400.40957582228845","190.7133247583293","397.2685162139774","191.54454663940908"
"3.080236","391.3047824963522","217.14120970254743","391.2632686154852","217.44468932393","396.35504221637893","246.12960067333415","393.3736306275839","246.07945352398468","397.60322398619894","181.96961114193215","392.4347289564081","180.93729480787943"
"3.113112","390.82243234359805","219.08956303577946","385.8237361685311","219.28161953580985","392.7287322166829","250.0994877796693","385.8973550165674","249.15387509119654","400.92440190296696","181.40318779258877","382.9390104419991","180.2956675963643"
"3.150179","388.5752869839798","219.53110750547182","380.87336606274323","219.78781234800584","390.1258017692121","252.64107480772742","380.39755830876095","251.2127072820404","405.7430809406919","182.28873856243922","370.88076247872084","178.90631839737358"
"3.181141","389.6116501626338","220.83095399136675","383.12803180857856","221.09851786691394","389.0560183988935","252.48682258101292","381.38691064263134","251.23574057256207","405.6143575586698","182.43786478599225","383.1735588103417","180.21891244376218"
"3.214229","385.10073365682763","222.16304033925098","383.7331025238631","222.65904859253408","383.8628713407405","255.54549517798517","380.47630315995866","254.35865682757782","388.01446176966806","182.8232930105484","379.11201067379017","181.2379416380411"
"3.24928","383.12266973948203","221.81561873024077","381.81712394744045","222.59689580420115","381.7866039944066","256.2532208513193","377.9956211431481","255.09976896887162","386.74166169519094","185.5894461902663","378.11867894272865","182.32310301784412"
"3.280245","382.42044103006447","220.24372311603236","381.3491400930205","220.77483774623056","382.2898291205618","252.98094230681545","378.1553366100742","252.0340481175523","385.52865374969605","186.503662109375","380.9762570867279","183.76816377751095"
"3.316282","379.634930443671","220.1970495082989","375.2314913857308","223.05449275747816","381.01908619209024","253.31409878860654","371.5359128959448","254.90420520352023","383.6033674306907","191.15567859694193","366.3079966979268","190.1316920180265"
"3.345139","379.95692437910384","220.19964623358464","370.40798985818947","223.25501390746598","379.37036797786965","254.61401272191148","363.7299543447532","257.85179191619045","384.47883481274323","188.24282730043166","362.0566178258755","187.25047355681545"
"3.375253","377.72256030368436","221.1046555812257","364.2538858257843","223.6784487475681","377.00738169154306","255.53183707745626","359.8025591067303","252.75074429641904","382.5343259818823","188.077614869589","359.31026046099834","187.02917860454158"
"3.406141","364.80243561147256","224.57125011399563","362.9648309254925","224.77227711955862","372.86206387174735","253.51374312226415","360.0247308753344","253.0854857923456","378.43564804611503","190.809471041312","360.5313283719905","188.06901532481157"
"3.448167","372.5135631041768","221.0685374931603","360.0665819932515","224.6988943374575","368.7797419329098","251.5946956886856","357.2681889515443","253.12335751307154","379.58832428334756","185.0896271583171","357.3472710397921","183.4243168812318"
"3.481191","362.64398359602995","220.53914277191757","359.14632953094605","221.21155972610654","361.7375578527785","249.8734377849891","357.12317702000246","250.4206723461819","373.30714933046573","173.57824279547668","357.30818526568584","177.6004016445769"
"3.5142","362.64398359602995","220.53914277191757","359.14632953094605","221.21155972610654","361.7375578527785","249.8734377849891","357.12317702000246","250.4206723461819","373.30714933046573","173.57824279547668","357.30818526568584","177.6004016445769"
"3.549164","361.9311656432393","221.37842461849465","356.77450763390686","221.4928491495927","359.7709599951362","252.8671248024076","353.8531916874392","253.18207048349348","373.8694583877979","173.29776274091074","355.10764606639106","179.38893833976778"
"3.582641","356.8194950563899","221.56093731000732","354.80760626291953","221.89736499118436","354.80592007766904","256.5092512197532","351.17313512661116","255.79366792315176","370.68040994725806","181.22930836955862","354.039650052438","180.73377224814567"
"3.615198","355.2835826354268","212.9118524098675","353.9540930128283","217.97148731988693","351.4713538500122","245.25855109663792","345.7061178600742","244.9859623890443","364.550823048395","173.9617824925523","348.39757303319556","175.2866856912695"
"3.647123","351.5512790308852","215.5404465968507","343.68684357520675","216.0680539617279","350.14874386323567","249.3166931389835","351.82595860818947","249.45752333110408","361.0726612848067","180.87649096774686","334.975673334144","179.88673394941634"
"3.67518","349.21088762691517","218.03701247872084","344.07274393163306","218.86769478052042","346.15170917436774","252.98792311375246","339.69874566816634","251.74668842716443","352.86137752310316","179.91320705784898","333.4007763101897","177.82877857490274"
"3.714192","348.27232319278943","219.85360729647982","339.55754451529066","223.22840590421328","347.12419965573326","256.1802764773833","335.097011224769","250.25694375835968","350.6188523110713","182.07638039199298","329.36829800735654","184.68467290856034"
"3.749158","344.33275369725806","221.63040814232738","328.77587368145066","223.82791220817126","346.8374132683305","255.13463927985168","325.1804883192486","252.5488067508208","338.4187287208171","177.32703729176802","321.31679715998905","176.94211492278697"
"3.78218","344.33275369725806","221.63040814232738","328.77587368145066","223.82791220817126","346.8374132683305","255.13463927985168","325.1804883192486","252.5488067508208","338.4187287208171","177.32703729176802","321.31679715998905","176.94211492278697"
"3.816237","346.61878248875246","221.126609713187","326.7996645678806","223.33042011186774","350.27564616518725","253.17262784609073","324.30407667345577","250.19661205009731","339.82210698109196","177.46061688731157","318.4870073489178","179.04387739010826"
"3.850184","346.700562473401","221.86053870531373","323.9481904144881","224.3707289640078","350.7860881642145","254.4947657009971","321.2933591850073","250.6271625919565","338.99725888025904","180.68875110195768","314.5246406287999","181.2527463445404"
"3.882768","324.3356757850499","220.58031941573444","323.88371069050953","221.61577205435316","323.1439812211211","253.62880840375732","321.4988377196316","250.2056162793349","323.0062536098614","182.99211387782714","320.8142127842291","180.99803120060193"
"3.914246","322.8885916030825","221.85187171312623","317.0964778202517","222.94337314947109","325.10869055128285","254.64780387433126","317.9209212366245","254.6968381414154","326.0317420811041","188.69081299778088","309.2777042611564","187.0797978857612"
"3.948172","320.43394428653943","221.71073800766055","315.4362935463278","222.52084884940422","323.7858444985713","253.35456723461823","313.6213174664093","254.69046436116855","327.98953805173886","187.25003514865028","308.26130551586823","185.75752513603481"
"3.982232","314.60878127279915","217.76041065023105","319.50910540035267","218.9688321718446","317.60479522586337","250.5449779228478","319.38985837943824","249.64651097397865","319.52310073793166","180.06816748236872","316.84324651933366","180.01464796251827"
"4.016248","314.98877998084873","217.52164681876218","311.020073204189","218.40362287588158","314.8731751200754","251.09143683882542","309.005823751368","250.32250264089862","314.1329735188169","180.08749116533926","306.5625413234132","180.52438176374028"
"4.050173","312.2164890868191","219.0432941125061","307.88413959903943","219.41718882994894","313.47596829781736","253.6361264477444","306.3009128199477","252.5082034099891","314.7801651416586","184.0310737817668","294.79468818397373","183.36530039746475"
"4.083177","308.2026937165613","221.69198762767513","313.7615743555448","218.9851207213643","307.78822938199175","252.6344312378405","310.2841207897617","251.96130608584633","309.45198836864665","182.3367611183731","311.2204594593568","187.75005652282954"
"4.112182","307.56288758511675","217.75373335663915","312.476296510214","219.35014610438964","307.6413963703794","251.46023927681182","313.6735217617644","247.11264667436774","310.427210470118","179.14174358204644","301.29628127279915","186.23754835314327"
"4.140229","303.6805809406919","215.27311878723862","304.6195163355727","216.3918689772313","305.25304985788546","250.53583879879017","307.7596316801435","247.21058031371598","308.9147697478417","176.4829329553745","294.2040849381384","180.68487287588158"
"4.179165","300.7730579895732","225.4879615872751","304.59972052073203","225.50671196726046","303.88241731517513","253.4733758473675","305.140412683153","254.0634057902177","301.60718010928383","180.76334793743922","296.0082694324538","189.5485754347033"
"4.216211","289.1657971333901","221.51011568655764","294.02605749939204","222.24879972109073","294.795497552894","252.40446929337918","296.43989913287334","253.19485176769217","292.3822629461029","188.12516529365274","297.63570798881324","186.9671269873237"
"4.250232","289.1657971333901","221.51011568655764","294.02605749939204","222.24879972109073","294.795497552894","252.40446929337918","296.43989913287334","253.19485176769217","292.3822629461029","188.12516529365274","297.63570798881324","186.9671269873237"
"4.280232","288.36657904836454","224.0819191543045","286.683192865394","225.15062336606275","290.6541928539944","257.3530857665066","287.64020416616006","256.2481960192729","300.1184134279244","183.85345102748056","283.1700258960056","182.50153514105062"
"4.309167","282.5765561352444","221.70544338597398","289.9900044838278","223.0204992628283","284.4348334523954","258.41022274744654","290.87680303076365","256.0907400405825","288.39032053669143","180.67866771415981","295.8300396514774","181.41141637661116"
"4.338148","277.3770858824021","221.02860862642876","290.19187458201606","221.96815104799975","281.52869317318215","258.8893017008147","291.6365306572228","254.30220334539155","280.6363302149198","180.03953605681545","296.46289869968996","178.23164195494894"
"4.37916","283.4483813571559","215.60168884514837","286.29489812591197","216.2236888603478","286.11697185828064","247.75700550598862","286.77977755654183","248.04868183061774","285.0091818724161","183.10586393482492","286.7297315783074","177.93190566482247"
"4.415223","285.9277481494711","219.0755002507904","279.2639271776964","219.22358103948812","287.7191850832928","252.78375980362358","280.03341781675584","252.69088472002676","287.5871905018847","187.65215660718633","268.1763148920082","181.55147092351655"
"4.448214","285.9277481494711","219.0755002507904","279.2639271776964","219.22358103948812","287.7191850832928","252.78375980362358","280.03341781675584","252.69088472002676","287.5871905018847","187.65215660718633","268.1763148920082","181.55147092351655"
"4.482257","272.04519950183914","224.01029000486386","288.8510200708293","216.29656578687383","269.85899287717353","252.20708444795724","294.8759960367522","246.16457215542925","269.45127328360593","181.0777540392449","279.77438603857615","182.23194784320282"
"4.516746","282.9764855529548","219.8601159715467","266.4392068469571","221.29050691953432","285.88259210846303","252.03779144880838","268.43833121808126","251.46566879331834","286.70595636627553","187.45642422330985","259.99044194202946","183.62939073139592"
"4.548224","260.2468432712184","224.82063691254257","275.6058494478812","225.29688307468996","270.6646016042984","261.1450466052104","276.7893660133451","255.32271638269094","269.1230741864513","188.16708385897982","283.5610522555934","184.99257033529915"
